topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
Wissensmanagement;Welche Herausforderungen bestehen bei der Implementierung eines Wissensmanagementsystems in einem Unternehmen?;;;;;;Antwort sollte Aspekte wie Wissenstransfer, Fluktuation der Mitarbeiter und organisatorische Hürden berücksichtigen.;;DE
Ideenmärkte;Vergleichen Sie Ideen-Wettbewerbe und Ideen-Märkte als Ansätze zur Innovationsförderung.;;;;;;Antwort sollte Unterschiede in der Teilnehmerstruktur, den Anreizmechanismen und der Marktprognose hervorheben.;;DE
Wissensarten;Warum ist die Vermittlung von implizitem Wissen eine größere Herausforderung als die von explizitem Wissen?;;;;;;Antwort sollte auf die Personengebundenheit, die schwierige Artikulierbarkeit und die Bedeutung von Erfahrung eingehen.;;DE
Wissensmanagement;Was ist das Hauptziel eines Wissensmanagementsystems?;Sicherung und Verbreitung von Wissen;Ausschließliche Speicherung von Daten;Vernichtung veralteter Informationen;Minimierung der Mitarbeiterkommunikation;a;Ein Wissensmanagementsystem dient dazu, Wissen innerhalb einer Organisation zugänglich und nutzbar zu machen.;;DE
Daten und Wissen;Wie unterscheidet sich Wissen von Daten?;Wissen ist immer kontextabhängig;Daten haben eine höhere Verhaltenssteuerung;Daten sind entscheidungsunterstützend;Wissen ist kontextunabhängig;a;Wissen wird durch Kontext und Erfahrung geformt, während Daten unstrukturierte Informationen sind.;;DE
Kodifizierungsansatz;Welches Merkmal trifft auf den Kodifizierungsansatz im Wissensmanagement zu?;Wissen wird in Datenbanken gespeichert;Wissen wird ausschließlich mündlich weitergegeben;Wissen wird nicht systematisch dokumentiert;Wissen wird nur innerhalb eines Teams geteilt;a;Der Kodifizierungsansatz nutzt Informationssysteme zur Speicherung und Wiederverwendung von Wissen.;;DE
Ideen-Wettbewerbe;Welches Unternehmen wurde als Beispiel für Ideen-Wettbewerbe genannt?;Tchibo;Siemens;Microsoft;Bosch;a;In der Vorlesung wurde Tchibo als Beispiel für Ideen-Wettbewerbe behandelt.;;DE
Dokumenten-Management;Welche Funktion gehört typischerweise zu einem Dokumenten-Management-System?;Versionierung von Dokumenten;Erstellung von Social Media Posts;Automatische Generierung von E-Mails;Verschlüsselung von Unternehmenskommunikation;a;DMS beinhalten Funktionen zur Versionierung, Speicherung und Verwaltung von Dokumenten.;;DE
Social Software;Welches Merkmal trifft auf Social Software zu?;Ermöglicht kollaborative Zusammenarbeit;Dient nur der internen Buchhaltung;Wird ausschließlich für E-Mail-Kommunikation genutzt;Erlaubt keine Interaktion zwischen Nutzern;a;Social Software unterstützt die Zusammenarbeit und den Wissensaustausch innerhalb von Organisationen.;;DE
Microsoft SharePoint;Welche Funktion bietet Microsoft SharePoint als Wissensmanagement-Tool?;Visualisierung von Unternehmenskennzahlen;Automatische Kundenakquise;Analyse von Wettbewerbsstrategien;Künstliche Intelligenz für Marketing;a;SharePoint ermöglicht das Management von Unternehmensinformationen und die Visualisierung von Kennzahlen.;;DE
Business Intelligence;Welche Rolle spielt Business Intelligence in der betrieblichen Entscheidungsfindung?;;;;;;Antwort sollte BI als Werkzeug zur Entscheidungsunterstützung, Datenanalyse und Verbesserung der Geschäftsprozesse erläutern.;;DE
Big Data;Vergleichen Sie die Konzepte von Data Warehouse, Data Mart und Data Lake hinsichtlich ihrer Funktionen und Einsatzbereiche.;;;;;;Antwort sollte die Unterschiede in Speicherung, Nutzung und Zielgruppen dieser Systeme herausarbeiten.;;DE
Process Mining;Erklären Sie den Unterschied zwischen dem deduktiven und induktiven Ansatz im Data Mining.;;;;;;Antwort sollte die Hypothesenprüfung (deduktiv) und Mustererkennung (induktiv) als Kernunterschiede erläutern.;;DE
Business Intelligence;Was ist das Hauptziel von Business Intelligence?;Unterstützung bei der Entscheidungsfindung;Speicherung aller Unternehmensdaten;Ersetzung von menschlichen Entscheidern;Automatische Generierung von E-Mails;a;BI dient dazu, datengetriebene Entscheidungsprozesse zu verbessern.;;DE
Datenmanagement;Welche Eigenschaft trifft auf ein Data Warehouse zu?;Es ist nicht für langfristige Speicherung gedacht;Es verarbeitet Daten in Echtzeit;Es integriert Daten aus verschiedenen Quellen;Es speichert nur unstrukturierte Daten;c;Ein Data Warehouse integriert Daten aus operativen Systemen zur Analyse.;;DE
Big Data;Welche der folgenden Eigenschaften gehört zu Big Data?;Hohe Geschwindigkeit der Datengenerierung;Geringe Vielfalt der Daten;Manuelle Datenauswertung;Nur strukturierte Datenquellen;a;Big Data zeichnet sich durch hohes Volumen, Geschwindigkeit und Vielfalt aus.;;DE
Data Mining;Welche Methode gehört zum Data Mining?;Clusteranalyse;Textverarbeitung;Einfache Datenbankabfragen;E-Mail-Verschlüsselung;a;Clusteranalyse ist eine gängige Technik zur Mustererkennung in großen Datenmengen.;;DE
Process Mining;Was ist das Hauptziel von Process Mining?;Automatisierung von Geschäftsprozessen;Visualisierung und Analyse von Prozessabläufen;Speicherung von Unternehmensdokumenten;Ersetzung von Führungskräften;b;Process Mining analysiert Prozessdaten zur Optimierung von Abläufen.;;DE
Machine Learning;Welcher Machine Learning-Ansatz verwendet gekennzeichnete Trainingsdaten?;Supervised Learning;Unsupervised Learning;Reinforcement Learning;Manuelles Lernen;a;Supervised Learning nutzt gelabelte Daten zur Modelloptimierung.;;DE
Künstliche Intelligenz;Was ist der Unterschied zwischen schwacher und starker KI?;Schwache KI ist auf spezifische Aufgaben fokussiert, starke KI kann menschenähnlich denken;Beide sind vollständig autonom;Starke KI ist weniger leistungsfähig als schwache KI;Schwache KI benötigt keine Algorithmen;a;Schwache KI ist auf begrenzte Aufgaben spezialisiert, während starke KI menschenähnlich handeln soll.;;DE
Agilität;Warum ist Agilität für moderne Unternehmen besonders wichtig, insbesondere im digitalen Zeitalter?;;;;;;Antwort sollte Faktoren wie technologische Dynamik, Marktveränderungen und organisatorische Flexibilität beleuchten.;;DE
Scrum;Erklären Sie die Rollen in einem Scrum-Team und wie sie zusammenarbeiten.;;;;;;Antwort sollte Scrum Master, Product Owner, Agile Team und deren Verantwortlichkeiten beschreiben.;;DE
Virtuelle Unternehmen;Welche Herausforderungen bestehen beim Management virtueller Unternehmen?;;;;;;Antwort sollte Aspekte wie Kommunikation, Koordination und technologische Abhängigkeiten beinhalten.;;DE
Agilität;Welches Prinzip gehört zum Agilen Manifest?;Individuen und Interaktionen sind wichtiger als Prozesse und Werkzeuge;Verträge sind wichtiger als Zusammenarbeit mit dem Kunden;Pläne sollten strikt befolgt werden;Dokumentation ist wichtiger als funktionierende Software;a;Das Agile Manifest betont die Wichtigkeit von Menschen, Zusammenarbeit und Anpassungsfähigkeit.;;DE
Scrum;Welche Rolle ist verantwortlich für die Priorisierung des Product Backlogs?;Scrum Master;Agiles Team;Product Owner;Kunde;c;Der Product Owner ist für die Priorisierung der Anforderungen und die Vision des Produkts zuständig.;;DE
Spotify-Modell;Was beschreibt das 'Squad' im Spotify-Framework?;Ein hierarchisch geführtes Team;Eine funktionsübergreifende, autonome Einheit;Eine Abteilung mit fester Struktur;Eine Projektgruppe mit nur einem festen Aufgabenbereich;b;Ein Squad ist ein selbstorganisiertes Team mit hoher Autonomie, das eigenständig Produkte entwickelt.;;DE
Virtuelle Unternehmen;Welches Merkmal zeichnet ein virtuelles Unternehmen aus?;Feste physische Standorte;Dezentrale Zusammenarbeit über digitale Plattformen;Hierarchische Führungsstrukturen;Keine Nutzung von IT-gestützten Systemen;b;Virtuelle Unternehmen arbeiten standortunabhängig und nutzen digitale Technologien zur Koordination.;;DE
Holacracy;Was ist ein zentrales Merkmal der Holacracy?;Klare Hierarchien und traditionelle Managerrollen;Entscheidungen werden nur von der Geschäftsführung getroffen;Selbstorganisierte Teams mit klar definierten Rollen;Feste Arbeitsanweisungen für alle Mitarbeiter;c;Holacracy setzt auf dezentrale Entscheidungsfindung durch selbstorganisierte Teams.;;DE
Plan-basierte vs. agile Methoden;Wie unterscheidet sich ein agiles Vorgehen von einem plan-basierten Vorgehen?;Agiles Vorgehen ist stark dokumentationslastig;Plan-basierte Methoden sind flexibler;Agile Methoden reagieren schneller auf Veränderungen;Plan-basierte Methoden setzen auf kontinuierliche Anpassung;c;Agile Methoden ermöglichen eine flexible Anpassung an sich ändernde Anforderungen.;;DE
Scrum-Artefakte;Welches Artefakt gehört nicht zu Scrum?;Product Backlog;Sprint Backlog;Kanban-Board;Burn Down Chart;c;Kanban-Boards gehören nicht direkt zu Scrum, sondern zu Kanban-Methoden.;;DE
Crowdsourcing;Welche ökonomischen Vorteile und Herausforderungen bringt Crowdsourcing für Unternehmen mit sich?;;;;;;Antwort sollte Vorteile wie Kostenersparnis und Innovationsförderung sowie Herausforderungen wie Qualitätskontrolle und Datenschutz umfassen.;;DE
Crowd Work;Welche Risiken ergeben sich für Arbeitnehmer durch Crowd Work?;;;;;;Antwort sollte auf Aspekte wie fehlende soziale Absicherung, unsichere Einkommen und algorithmische Kontrolle eingehen.;;DE
Crowdfunding;Welche Faktoren beeinflussen den Erfolg einer Crowdfunding-Kampagne?;;;;;;Antwort sollte die Bedeutung von Prototypen, Marktattraktivität, Gegenleistungen und Community-Building hervorheben.;;DE
Crowdsourcing;Was ist eine Hauptcharakteristik von Crowdsourcing?;Die Nutzung der kollektiven Intelligenz einer großen Gruppe;Die Vergabe von Aufgaben nur an interne Mitarbeiter;Das Outsourcing von Aufgaben an feste Agenturen;Die Speicherung von Unternehmensdaten in der Cloud;a;Crowdsourcing nutzt die Weisheit und Kreativität einer breiten Öffentlichkeit zur Problemlösung.;;DE
Crowd Work;Welcher Aspekt kennzeichnet Crowd Work?;Feste Anstellung mit langfristigen Verträgen;Freiberufliche Arbeit, oft über Plattformen vermittelt;Bezahlung auf Basis von Festgehalt;Arbeit ausschließlich in Unternehmensbüros;b;Crowd Work wird meist als flexible, freiberufliche Arbeit über digitale Plattformen angeboten.;;DE
Algorithmic Management;Was ist Algorithmic Management?;Automatisierte Steuerung und Kontrolle von Arbeitskräften durch Algorithmen;Manuelle Kontrolle von Arbeitsprozessen;Ein hierarchisches Managementsystem;Ein traditionelles Managementmodell ohne Technologieeinsatz;a;Algorithmic Management nutzt Algorithmen zur automatisierten Steuerung von Arbeitsabläufen.;;DE
Crowdfunding;Welcher der folgenden Aspekte gehört nicht zu Crowdfunding?;Sammlung von Kapital durch viele kleine Investoren;Kreditaufnahme bei Banken;Plattformbasierte Finanzierung von Projekten;Direkte Einwerbung von finanziellen Mitteln über das Internet;b;Crowdfunding basiert auf der Finanzierung durch viele Einzelpersonen, nicht durch Bankkredite.;;DE
Kickstarter;Welches der folgenden Merkmale trifft auf die Plattform Kickstarter zu?;Speziell für gemeinnützige Organisationen;Unterstützt ausschließlich Technologieprojekte;Ist eine der größten Crowdfunding-Plattformen für kreative Projekte;Bietet staatliche Fördermittel;c;Kickstarter ist eine weltweit führende Plattform für kreative Crowdfunding-Projekte.;;DE
Crowdsourcing vs. Open Innovation;Wie unterscheidet sich Crowdsourcing von Open Innovation?;Crowdsourcing fokussiert sich auf anonyme Teilnehmer, Open Innovation auf Unternehmenskooperationen;Open Innovation nutzt ausschließlich interne Ressourcen;Crowdsourcing setzt keine digitale Plattform voraus;Open Innovation beschränkt sich auf die Finanzbranche;a;Crowdsourcing nutzt eine breite anonyme Masse, während Open Innovation oft zwischen Unternehmen stattfindet.;;DE
Crowdsourcing-Plattformen;Was ist eine Funktion von Crowdsourcing-Plattformen?;Direkte Kommunikation zwischen Arbeitgeber und Arbeitnehmer ohne digitale Vermittlung;Bereitstellung eines Marktplatzes für die Vermittlung von Aufgaben an eine Crowd;Begrenzung der Teilnehmeranzahl auf maximal 10 Personen;Exklusive Nutzung für Softwareentwicklungsprojekte;b;Plattformen bieten einen digitalen Marktplatz für die Verteilung von Aufgaben an eine große Gruppe von Teilnehmern.;;DE
Wertschöpfungsstrukturen;Wie beeinflusst die Digitalisierung traditionelle Wertschöpfungsketten?;;;;;;Antwort sollte auf Aspekte wie veränderte Distributionswege, neue Geschäftsmodelle und veränderte Marktstrukturen eingehen.;;DE
Transaktionskostentheorie;Erklären Sie die Transaktionskostentheorie und deren Relevanz für vertikale Integration.;;;;;;Antwort sollte Begriffe wie Anbahnungskosten, Kontrollkosten und den Einfluss digitaler Technologien auf Transaktionskosten beinhalten.;;DE
Intermediäre;Welche Rolle spielen Intermediäre in digitalen Märkten und wie verändern sie Marktstrukturen?;;;;;;Antwort sollte auf Kostenersparnisse, Markttransparenz und veränderte Wettbewerbssituationen durch Plattformen eingehen.;;DE
Digitale Wertschöpfung;Welches Merkmal zeichnet eine digitalisierte Wertschöpfungskette aus?;Höhere Fixkosten;Kürzere Distributionswege;Geringere Skalierbarkeit;Verzicht auf Intermediäre;b;Digitalisierung reduziert Distributionswege durch Plattformen und direkte Kundenzugänge.;;DE
Transaktionskosten;Welche Art von Transaktionskosten gibt es laut der Transaktionskostentheorie?;Produktionskosten;Anbahnungskosten;Marketingkosten;Lagerkosten;b;Transaktionskosten umfassen Anbahnungskosten, Kontrollkosten und Vereinbarungskosten.;;DE
Intermediäre;Welche Funktion übernehmen Intermediäre in digitalen Märkten?;Reduzierung von Informationsasymmetrien;Erhöhung der Produktionskosten;Ersetzen aller Marktakteure;Verringerung der Markttransparenz;a;Intermediäre erleichtern den Austausch zwischen Anbietern und Nachfragern durch Informationsbereitstellung.;;DE
Plattformökonomie;Was ist eine typische Eigenschaft digitaler Plattformen?;Sie besitzen keine eigenen physischen Produkte;Sie kontrollieren ausschließlich eigene Produktionsketten;Sie vermeiden Netzwerkeffekte;Sie operieren nur in lokalen Märkten;a;Plattformen wie Amazon oder Airbnb verbinden Anbieter und Nachfrager, ohne eigene Produkte herzustellen.;;DE
Vertikale Integration;Was versteht man unter vertikaler Integration?;Zusammenarbeit mit Konkurrenten auf der gleichen Wertschöpfungsstufe;Eingliederung nachgelagerter oder vorgelagerter Produktionsstufen;Verzicht auf Kooperationen;Fokussierung auf einen einzigen Geschäftszweig;b;Vertikale Integration beschreibt die Ausweitung der Kontrolle über vor- oder nachgelagerte Stufen der Wertschöpfung.;;DE
Digitale Märkte;Welcher der folgenden Faktoren ist entscheidend für den Erfolg von digitalen Plattformen?;Hohe Eintrittsbarrieren;Netzwerkeffekte;Begrenzte Skalierbarkeit;Fehlende Datenanalyse;b;Netzwerkeffekte steigern den Wert einer Plattform, je mehr Nutzer sie verwenden.;;DE
Baligh & Richartz Modell;Welche Aussage beschreibt das Modell von Baligh & Richartz?;Intermediäre reduzieren die Anzahl direkter Marktinteraktionen;Intermediäre erhöhen die Transaktionskosten;Intermediäre haben keinen Einfluss auf Marktstrukturen;Intermediäre machen Direktgeschäfte überflüssig;a;Das Modell zeigt, dass Intermediäre die Anzahl der benötigten Marktinteraktionen verringern und so Kosten reduzieren.;;DE
Personalisierung;Which of the following best describes "Personalisierung" as discussed in the lecture?;Creating entirely new product categories;Using a customer’s data to provide a targeted solution;Ignoring user preferences in favor of mass appeal;Standardizing all products for a single market;b;Personalisierung involves leveraging individual customer data to deliver more relevant offerings.;
Personalisierung;Which of the following is NOT a recognized category of user data mentioned in the slides?;First Party Data;Second Party Data;Third Party Data;Fourth Party Data;d;The slides discuss only First, Second, and Third Party Data, not a “Fourth Party Data” category.;
Personalisierung;Which of these is an example of “implizite Datensammlung”?;Answering a customer survey;Entering one’s favorite categories in a profile;Checking a box to confirm personal interests;Tracking scrolling or dwell time on a page;d;Implicit data collection comes from observing user behavior rather than asking users directly.;
Personalisierung;The “Privacy Paradox” occurs when users…;Refuse to share any personal information at all;Perfectly match their actions to their privacy concerns;Are worried about privacy yet still share data extensively;Demand complete transparency in algorithms;c;Users often express strong concerns for privacy but continue to provide their data for convenience or personalization benefits.;
Personalisierung;Which recommendation approach is based on finding similarities among items a user liked in the past?;Collaborative Filtering;Content-Based Filtering;Hybrid Recommendation;Contextual Recommendation;b;Content-based filtering looks at item features that match the user’s previously liked items.;
Personalisierung;Which of the following represents a “Brutto-Nutzen” (benefit) of personalization for users?;Cognitive cost from filling out questionnaires;Time spent customizing preferences;Reduced search time to find suitable products;Privacy concerns;c;Personalization can lower users’ search efforts, which is considered a key benefit.;
Preis-Diskriminierung;Which statement about first-degree price discrimination is correct?;It sets a single price for every consumer;It charges each consumer the maximum price they are willing to pay;It is always illegal under all circumstances;It only applies to subscription services;b;First-degree price discrimination involves matching the price to each individual’s willingness to pay.;
Online-Marketing;Which metric belongs to "Kontaktmaße" in Online Marketing?;Conversion Rate;Deckungsbeitrag;Banner Frequency;Click-Through Rate;c;Banner Frequency refers to how many times a single user sees the same ad.;
Online-Marketing;In Collaborative Filtering, which data is primarily used to generate recommendations?;User ratings or purchase histories;Weather forecasts;Offline store traffic;Competitor pricing;a;Collaborative Filtering relies on user interactions and ratings to suggest relevant items.;
Online-Marketing;Which of the following is an example of a "result-oriented" (ergebnisorientierte) online marketing metric?;Ad Impressions;Banner Frequency;Page Views;Neuanmeldungen (new registrations);d;Result-oriented metrics track final actions like new registrations or sales.;
Online-Marketing;Which statement best describes the purpose of a Warenkorbanalyse?;To track only paid clicks;To recommend the highest-priced product;To identify purchase patterns and item groupings;To replace user surveys;c;Warenkorbanalyse (market basket analysis) uncovers frequently co-purchased items for better recommendations.;
Online-Marketing;Which of these is a common cost model for Sponsored Links (SL) in Search Engine Marketing?;Pay per Product;Pay per Server;Pay per Click;Pay per Location;c;Most search ads are billed using the Pay per Click model.;
Online-Marketing;In the context of Google Ads, what is the primary function of "Cost per Click"?;Charging advertisers based on ad impressions;Charging users for each product page visit;Charging advertisers only if a user clicks on the ad;Charging a flat rate per day;c;Advertisers pay Google each time someone actually clicks their ad.;
Online-Marketing;Which of the following best describes the Apriori Algorithm's main goal?;To remove users from a database;To analyze time-based keyword bids;To find frequent item sets and strong association rules;To generate ad click timestamps;c;The Apriori Algorithm identifies frequent item sets in transactions and extracts meaningful association rules.;
Online-Marketing;Explain how an A/B test measures performance differences between two versions of an online ad campaign.;;;;;;A/B tests compare two variations in a controlled environment to see which yields better engagement or conversions.;
Online-Marketing;Describe the main steps in conducting a Warenkorbanalyse (market basket analysis) for an e-commerce store.;;;;;;One collects transaction data, calculates supports, identifies frequent item sets, and derives association rules to inform product recommendations or bundling strategies.;
Online-Marketing;Discuss the difference between SEO (Search Engine Optimization) and sponsored links in the context of online marketing.;;;;;;SEO aims to improve organic search rankings, while sponsored links involve paying for ad placements in search engine results pages.;
Open Innovation;Welche Aussage beschreibt am besten den Begriff "Open Innovation"?;Unternehmen entwickeln Produkte nur intern;Nutzer und externe Partner werden in den Innovationsprozess einbezogen;Geheimhaltung von Ideen für Patentanmeldungen;Innovation entsteht ausschließlich durch staatliche Förderung;b;Open Innovation bindet gezielt externe Akteure in die Entwicklung neuer Produkte ein.;;DE
Open Innovation;Welches Beispiel zeigt eine eher komplexe Form von Open Innovation?;Kundenfeedback in einer Umfrage;Selbst gestaltete Schuhe auf miadidas.com;Entwicklung eines neuen Autodesigns ausschließlich durch ein internes Team;Linux als Open-Source-Betriebssystem;d;Linux wird von einer großen Community entwickelt und frei zugänglich zur Verfügung gestellt.;;DE
Open Innovation;Welche Aussage beschreibt den Unterschied zwischen “Closed” und “Open Innovation” laut Chesbrough?;Open Innovation nutzt nur interne Ideen;Closed Innovation integriert externe F&E-Unternehmen;Open Innovation kombiniert externe und interne Ideen;Closed Innovation basiert komplett auf Community-Beiträgen;c;Open Innovation vernetzt internes Know-how mit externen Ideenquellen.;;DE
Open Innovation;Welche Eigenschaft ist typisch für das „Not Invented Here“-Syndrom?;Offener Austausch von Ideen;Begeisterung für externes Wissen;Ablehnung fremder Ideen;Finanzielle Anreizprogramme;c;Beim „Not Invented Here“-Syndrom werden externe Vorschläge eher abgelehnt.;;DE
Open Innovation;Warum ist die Einbindung von Nutzern im Zuge der Digitalisierung besonders einfach geworden?;Weil Unternehmen auf persönliche Besuche verzichten können;Weil Kunden ausschließlich Fachwissen besitzen;Weil kostengünstige Online-Plattformen und Tools Nutzerbeteiligung erleichtern;Weil Innovationen nur noch online stattfinden;c;Das Internet ermöglicht kostengünstige Tools für Feedback und Zusammenarbeit.;;DE
Open Innovation;Welche Aussage trifft auf „Lead User“ zu?;Sie sind immer skeptisch gegenüber neuen Produkten;Sie haben nur geringe Anforderungen an Innovationen;Sie antizipieren zukünftige Marktbedürfnisse früh;Sie haben keinen Einfluss auf die Produktentwicklung;c;Lead User haben besonders fortgeschrittene Bedürfnisse, die Marktentwicklungen vorwegnehmen.;;DE
Open Innovation;Was zeichnet ein „User Toolkit“ laut v. Hippel aus?;Es ist ein Handbuch für Kundendienstmitarbeiter;Es ist eine automatisierte Patentdatenbank;Es ist eine Entwicklungsumgebung, mit der Kunden eigene Lösungen konfigurieren können;Es ist eine Plattform für klassische Fernsehwerbung;c;User Toolkits ermöglichen Kunden, selbst Produkte zu gestalten und Prototypen zu erstellen.;;DE
Open Innovation;Beschreiben Sie den Unterschied zwischen “Closed Innovation” und “Open Innovation”.;;;;;;;;
Open Innovation;Erläutern Sie die Rolle der Digitalisierung bei der Umsetzung von Open Innovation.;;;;;;;;
Open Innovation;Was versteht man unter „User Toolkits“ und welchen Vorteil bieten sie im Innovationsprozess?;;;;;;;;
IT und Operations;Was ist das Hauptziel des Supply Chain Managements (SCM)?;Maximierung von Lagerbeständen;Vermeidung von Verschwendung entlang der Lieferkette;Erhöhung der Produktionskosten;Minimierung der Kundenzufriedenheit;b;Das SCM zielt darauf ab, Verschwendung in der gesamten Lieferkette zu vermeiden und Prozesse effizient zu gestalten.;;DE
IT und Operations;Welche Funktion übernimmt die Blockchain-Technologie in der Supply Chain?;Erhöhung der Lagerkosten;Verbesserung der Rückverfolgbarkeit und Transparenz;Verschlüsselung von Mitarbeiterdaten;Erstellung von Marketingkampagnen;b;Blockchain-Technologie ermöglicht die lückenlose Rückverfolgbarkeit von Produkten und erhöht die Transparenz entlang der Lieferkette.;;DE
IT und Operations;Welche Aussage beschreibt am besten den kontinuierlichen Verbesserungsprozess (KVP) in der Workflowsteuerung?;Einmalige Anpassung der Prozesse;Ständige Optimierung durch Simulation, Feedback und erneute Planung;Verzicht auf Datenerfassung;Unabhängige Planung ohne Analyse;b;Der kontinuierliche Verbesserungsprozess beinhaltet eine fortlaufende Analyse und Optimierung von Abläufen mittels Simulation und Feedback.;;DE
IT und Operations;Was charakterisiert einen vollautomatisierten Workflow in der Versicherungsbranche?;Manuelle Nachprüfung in jedem Schritt;Teilweise Automatisierung mit menschlichen Eingriffen;Automatisierte Verarbeitung ohne manuelle Nachprüfung;Ausschließlich papierbasierte Prozesse;c;Ein vollautomatisierter Workflow zeichnet sich dadurch aus, dass alle Prozessschritte automatisch ohne menschliche Intervention ablaufen.;;DE
IT und Operations;Welche der folgenden Technologien wird typischerweise im 3D-Druck eingesetzt?;Fused Filament Fabrication (FFF);Analogdruck;Digitale Fotografie;Elektrolyseverfahren;a;FFF ist ein weit verbreitetes Verfahren im 3D-Druck, bei dem Kunststoff schichtweise aufgeschmolzen wird.;;DE
IT und Operations;Was ist ein digitaler Zwilling?;Ein physisches Modell eines Produkts;Eine virtuelle Nachbildung eines physischen Objekts oder Prozesses;Ein Ersatz für reale Prozesse;Ein veraltetes Computersystem;b;Ein digitaler Zwilling ist eine exakte virtuelle Darstellung eines realen Objekts oder Prozesses, die Echtzeitdaten integriert.;;DE
IT und Operations;Welche Rolle spielt das Industrial Internet of Things (IIoT) in modernen Fertigungsprozessen?;Erhöhung der manuellen Arbeit;Vernetzung von Produktionsprozessen durch smarte Sensoren und Echtzeit-Analysen;Reduzierung der Datenerfassung;Ausschluss von Echtzeit-Analysen;b;IIoT vernetzt Maschinen und Sensoren, um Produktionsprozesse effizient zu steuern und Echtzeitdaten auszuwerten.;;DE
IT und Operations;Erklären Sie das Konzept des Supply Chain Managements und diskutieren Sie, wie IT-Systeme zur Optimierung der Lieferkette beitragen.;;;;;;;Die Antwort sollte die Ziele und Funktionen des SCM erläutern und aufzeigen, wie IT-Lösungen Transparenz, Planung und Steuerung in der Lieferkette verbessern.;;DE
IT und Operations;Beschreiben Sie die Funktionsweise eines Workflow-Management-Systems und erläutern Sie, welche Vorteile ein kontinuierlicher Verbesserungsprozess in diesem Kontext bietet.;;;;;;;Die Antwort sollte erklären, wie Workflow-Management-Systeme Prozesse modellieren, automatisieren und überwachen, und welche Rolle kontinuierliche Optimierung dabei spielt.;;DE
