topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
Compute Engine Security;Cymbal Direct wants a layered approach to security when setting up Compute Engine instances. What are some options you could use to make your Compute Engine instances more secure?;Use network tags to allow traffic only from certain sources and ports. Use a Compute Engine service account.;Use labels to allow traffic only from certain sources and ports. Use a Compute Engine service account.;Use network tags to allow traffic only from certain sources and ports. Turn on Secure boot and vTPM.;Use labels to allow traffic only from certain sources and ports. Turn on Secure boot and vTPM.;c;Network tags control firewall policies, while Secure Boot and vTPM protect the integrity of the instance’s operating environment.;medium;EN
Load Balancing & Traffic Routing;You need to deploy a load balancer for a web-based application with multiple backends in different regions. You want to direct traffic to the backend closest to the end user, but also to different backends based on the URL the user is accessing. Which of the following could be used to implement this?;The request is received by the global external Application Load Balancer. A global forwarding rule sends the request to a target proxy, which checks the URL map and selects the backend service. The backend service sends the request to Compute Engine instance groups in multiple regions.;The request is matched by a URL map and then sent to a proxy Network Load Balancer. A global forwarding rule sends the request to a target proxy, which selects a backend service and sends the request to Compute Engine instance groups in multiple regions.;The request is received by the proxy Network Load Balancer, which uses a global forwarding rule to check the URL map, then sends the request to a backend service. The request is processed by Compute Engine instance groups in multiple regions.;The request is matched by a URL map and then sent to a global external Application Load Balancer. A global forwarding rule sends the request to a target proxy, which selects a backend service. The backend service sends the request to Compute Engine instance groups in multiple regions.;a;Global external HTTP(S) Load Balancer supports both geographic routing and URL-based routing via target proxies and URL maps.;hard;EN

API Design & Strategy;Michael is the owner/operator of “Zneeks,” a retail shoe store that caters to sneaker aficionados. He regularly works with customers who order small batches of custom shoes. Michael is interested in using Cymbal Direct to manufacture and ship custom batches of shoes to these customers. Reasonably tech-savvy but not a developer, Michael likes using Cymbal Direct's partner purchase portal but wants the process to be easy. What is an example of a user story that could describe Michael’s persona?;Zneeks is a retail shoe store that caters to sneaker aficionados.;As a shoe retailer, Michael wants to send Cymbal Direct custom purchase orders so that batches of custom shoes are sent to his customers.;Michael is a tech-savvy owner/operator of a small business.;Michael is reasonably tech-savvy but needs Cymbal Direct's partner purchase portal to be easy;b;A standard user story follows the specific format 'As a [role], I want [action] so that [benefit],' which Option B correctly demonstrates.;easy;EN
Cloud Architecture;The number of requests received by your application is nearing the maximum specified in your design. You want to limit the number of incoming requests until the system can handle the workload. What design pattern does this situation describe?;Applying exponential backoff;Applying graceful degradation;Increasing jitter;Applying a circuit breaker;d;According to Google Cloud Architecture Framework reliability patterns, the Circuit Breaker pattern prevents an application from performing an operation that is likely to fail (such as when overloaded) by failing fast and rejecting requests, which limits the load and gives the system time to recover.;medium;EN
Cloud Build;You have implemented a manual CI/CD process for the container services required for the next implementation of the Cymbal Direct’s Drone Delivery project. You want to automate the process. What should you do?;Implement a build trigger that applies your build configuration when a new software update is committed to Cloud Source Repositories.;Specify the name of your Container Registry in your Cloud Build configuration.;Configure and push a manifest file into an environment repository in Cloud Source Repositories.;Implement and reference a source repository in your Cloud Build configuration file.;a;According to Cloud Build documentation, automating a CI/CD pipeline requires creating a build trigger. This trigger watches for source code changes (like commits to Cloud Source Repositories) and automatically executes the build configuration, replacing the manual process.;easy;EN
Disaster Recovery;You are implementing a disaster recovery plan for the cloud version of your drone solution. Sending videos to the pilots is crucial from an operational perspective. What design pattern should you choose for this part of your architecture?;Hot with a low recovery time objective (RTO);Cold with a low recovery time objective (RTO);Hot with a high recovery time objective (RTO);Warm with a high recovery time objective (RTO);a;Because the video feed is operationally crucial, the system requires minimal downtime, which translates to a Low Recovery Time Objective (RTO). According to GCP Disaster Recovery guides, a 'Hot' pattern is required to achieve low RTO, as the recovery site is fully functioning and ready to take traffic immediately.;medium;EN
DevOps;Cymbal Direct wants to improve its drone pilot interface. You want to collect feedback on proposed changes from the community of pilots before rolling out updates systemwide. What type of deployment pattern should you implement?;You should implement an in-place release.;You should implement canary testing.;You should implement a blue/green deployment.;You should implement A/B testing.;d;According to Google Cloud's application deployment patterns, A/B testing is the strategy used to evaluate the effectiveness of a new feature or interface by showing it to a subset of users to gather feedback or compare metrics against the existing version, whereas Canary is primarily used to minimize risk/errors.;medium;EN
Compute Engine;The pilot subsystem in your Delivery by Drone service is critical to your service. You want to ensure that connections to the pilots can survive a VM outage without affecting connectivity. What should you do?;Deploy a load balancer to distribute traffic across multiple machines.;Implement a managed instance group and load balancer.;Create persistent disk snapshots.;Configure proper startup scripts for your VMs.;b;According to GCP High Availability best practices, combining a Managed Instance Group (MIG) with a Load Balancer is the correct architecture; the MIG provides auto-healing to replace failed VMs automatically, while the load balancer routes traffic only to healthy instances, ensuring uninterrupted connectivity.;medium;EN
Terraform;You are asked to implement a lift and shift operation for Cymbal Direct’s Social Media Highlighting service. You compose a Terraform configuration file to build all the necessary Google Cloud resources. What is the next step in the Terraform workflow for this effort?;Run terraform apply to deploy the resources described in the configuration file.;Run terraform plan to verify the contents of the Terraform configuration file.;Run terraform init to download the necessary provider modules.;Commit the configuration file to your software repository;c;According to the standard Terraform workflow, after writing a configuration file, you must run 'terraform init' to initialize the working directory and download the necessary provider plugins before you can run 'plan' or 'apply'.;easy;EN
DevOps;You want to establish procedures for testing the resilience of the delivery-by-drone solution. How would you simulate a scalability issue?;Inject a bad health check for one or more of your resources.;Block access to all resources in a zone.;Load test your application to see how it responds.;Block access to storage assets in one of your zones.;c;According to Google Cloud's reliability and SRE best practices, simulating a scalability issue requires generating high volumes of traffic (load testing) to verify if the application successfully auto-scales resources up and down to meet demand without degrading performance.;easy;EN
DevOps;Your development team used Cloud Source Repositories, Cloud Build, and Artifact Registry to successfully implement the build portion of an application's CI/CD process.. However, the deployment process is erroring out. Initial troubleshooting shows that the runtime environment does not have access to the build images. You need to advise the team on how to resolve the issue. What could cause this problem?;You need to specify the Artifact Registry image by name.;The runtime environment does not have permissions to Cloud Source Repositories in your current project.;The Artifact Registry might be in a different project.;The runtime environment does not have permissions to the Artifact Registry in your current project.;c;According to GCP IAM defaults, runtime environments (like Compute Engine default service accounts) automatically have read access to Artifact Registry repositories within the *same* project. Therefore, if access is denied, the most likely cause is that the Artifact Registry resides in a *different* project, where explicit cross-project IAM permissions are required but missing.;medium;EN
Compute Engine;You have an application implemented on Compute Engine. You want to increase the durability of your application. What should you do?;Perform health checks on your Compute Engine instances.;Implement a scheduled snapshot on your Compute Engine instances.;Monitor your application’s usage metrics and implement autoscaling.;Implement a regional managed instance group.;d;According to Google Cloud Architecture Framework, a Regional Managed Instance Group (MIG)  increases application durability (resilience) by distributing instances across multiple zones, allowing the application to survive a zonal outage.;medium;EN
Cloud Build;Developers on your team frequently write new versions of the code for one of your applications. You want to automate the build process when updates are pushed to Cloud Source Repositories. What should you do?;Implement a build trigger that references your repository and branch.;Set proper permissions for Cloud Build to access deployment resources.;Implement a Cloud Build configuration file with build steps.;Upload application updates and Cloud Build configuration files to Cloud Source Repositories.;a;According to Cloud Build documentation, to automate builds in response to source code changes (like a push to a specific branch), you must create a Build Trigger that watches the specified repository and branch. ;easy;EN

DevOps;You need to adopt Site Reliability Engineering principles and increase visibility into your environment. You want to minimize management overhead and reduce noise generated by the information being collected. You also want to streamline the process of reacting to analyzing and improving your environment, and to ensure that only trusted container images are deployed to production. What should you do?;Adopt Google Cloud Observability to gain visibility into the environment. Use Cloud Trace for distributed tracing, Cloud Logging for logging, and Cloud Monitoring for monitoring, alerting, and dashboards. Only page the on-call contact about novel issues or events that haven’t been seen before. Use GNU Privacy Guard (GPG) to check container image signatures and ensure that only signed containers are deployed.;Adopt Google Cloud Observability to gain visibility into the environment. Use Cloud Trace for distributed tracing, Cloud Logging for logging, and Cloud Monitoring for monitoring, alerting, and dashboards. Only page the on-call contact about novel issues that violate an SLO or events that haven’t been seen before. Use Binary Authorization to ensure that only signed container images are deployed.;Adopt Google Cloud Observability to gain visibility into the environment. Use Cloud Trace for distributed tracing, Cloud Logging for logging, and Cloud Monitoring for monitoring, alerting, and dashboards. Page the on-call contact when issues that affect resources in the environment are detected. Use GPG to check container image signatures and ensure that only signed containers are deployed.;Adopt Google Cloud Observability to gain visibility into the environment. Use Cloud Trace for distributed tracing, Cloud Logging for logging, and Cloud Monitoring for monitoring, alerting, and dashboards. Page the on-call contact when issues that affect resources in the environment are detected. Use Binary Authorization to ensure that only signed container images are deployed.;b;According to Site Reliability Engineering (SRE) principles, to reduce noise (alert fatigue), you should only page on symptoms that affect the user, specifically **SLO (Service Level Objective) violations** , rather than all resource issues. Furthermore, **Binary Authorization**  is the managed GCP service designed to enforce deployment security policies (trusted containers) with minimal operational overhead compared to manual GPG verification.;hard;EN
Google Cloud Observability;Cymbal Direct’s warehouse and inventory system was written in Java. The system uses a microservices architecture in GKE and is instrumented with Zipkin. Seemingly at random, a request will be 5-10 times slower than others. The development team tried to reproduce the problem in testing, but failed to determine the cause of the issue. What should you do?;Create metrics in Cloud Monitoring for your microservices to test whether they are intermittently unavailable or slow to respond to HTTPS requests. Use Cloud Profiler to determine which functions/methods in your application’s code use the most system resources. Use Cloud Trace to identify slow requests and determine which microservices/calls take the most time to respond.;Use Error Reporting to test whether your microservices are intermittently unavailable or slow to respond to HTTPS requests. Use Cloud Trace to determine which functions/methods in your application’s code Use the most system resources. Use Cloud Profiler to identify slow requests and determine which microservices/calls take the most time to respond.;Create metrics in Cloud Monitoring for your microservices to test whether they are intermittently unavailable or slow to respond to HTTPS requests. Use Cloud Trace to determine which functions/methods in your application’s code use the most system resources. Use Cloud Profiler to identify slow requests and determine which microservices/calls take the most time to respond.;Use Error Reporting to test whether your microservices are intermittently unavailable or slow to respond to HTTPS requests. Use Cloud Profiler to determine which functions/methods in your application’s code use the most system resources. Use Cloud Trace to identify slow requests and determine which microservices/calls take the most time to respond.;a;According to Google Cloud Observability documentation, the correct tool mapping is: **Cloud Trace** for analyzing latency/slowness in distributed microservices (supporting Zipkin) , **Cloud Profiler** for identifying code-level resource consumption (heavy functions) , and **Cloud Monitoring** for tracking availability and latency metrics.;medium;EN
Cloud Billing & IAM;Cymbal Direct is working on a social media integration service in Google Cloud. Mahesh is a non-technical manager who wants to ensure that the project doesn’t exceed the budget and responds quickly to unexpected cost increases. You need to set up access and billing for the project. What should you do?;Use the predefined Billing Account Administrator role for the Billing Administrator group, and assign Mahesh to the group. Create a project budget. Configure billing alerts to be sent to the Billing Administrator. Use resource quotas to cap how many resources can be deployed.;Assign the predefined Billing Account Administrator role to Mahesh. Create a project budget. Configure billing alerts to be sent to the Project Owner. Use resource quotas to cap how much money can be spent.;Use the predefined Billing Account Administrator role for the Billing Administrator group, and assign Mahesh to the group. Create a project budget. Configure billing alerts to be sent to the Billing Account Administrator. Use resource quotas to cap how much money can be spent.;Assign the predefined Billing Account Administrator role to Mahesh. Create a project budget. Configure billing alerts to be sent to the Billing Administrator. Use resource quotas to cap how many resources can be deployed.;a;According to Google Cloud IAM best practices, roles should be assigned to groups rather than individuals to ease management. Furthermore, Resource Quotas  are technically designed to limit the *quantity* of deployable resources (e.g., CPU cores), preventing runaway usage, whereas they do not directly cap monetary spend (which is monitored via Budgets).;medium;EN
Cloud Monitoring;Your client has adopted a multi-cloud strategy that uses a virtual machine-based infrastructure. The client's website serves users across the globe. The client needs a single dashboard view to monitor performance in their AWS and Google Cloud environments. Your client previously experienced an extended outage and wants to establish a monthly service level objective (SLO) of no outage longer than an hour. What should you do?;In Cloud Monitoring, create an uptime check for the URL your clients will access. Configure it to check from multiple regions. Use the Cloud Monitoring dashboard to view the uptime metrics over time and ensure that the SLO is met. Recommend an SLO of 97% uptime per month.;Create a new project to use as an AWS connector project. Authorize access to the project from AWS with a service account. Install the monitoring agent on AWS EC2 (virtual machines) and Compute Engine instances. Use Cloud Monitoring to create dashboards that use the performance metrics from virtual machines to ensure that the SLO is met.;Authorize access to your Google Cloud project from AWS with a service account. Install the monitoring agent on AWS EC2 (virtual machines) and Compute Engine instances. Use Cloud Monitoring to create dashboards that use the performance metrics from virtual machines to ensure that the SLO is met.;In Cloud Monitoring, create an uptime check for the URL your clients will access. Configure it to check from multiple regions. Use the Cloud Monitoring dashboard to view the uptime metrics over time and ensure that the SLO is met. Recommend an SLO of 97% uptime per day.;d;According to SRE principles, SLOs should be measured from the user's perspective (Uptime Checks) rather than internal metrics (Agents). Furthermore, a monthly SLO of 97% allows for ~21 hours of downtime, which fails the requirement of "no outage longer than an hour," whereas a **Daily** SLO of 97% (allowing ~43 minutes of downtime/day) strictly enforces the client's constraint.;hard;EN
Cloud Monitoring;Cymbal Direct uses a proprietary service to manage on-call rotation and alerting. The on-call rotation service has an API for integration. Cymbal Direct wants to monitor its environment for service availability and ensure that the correct person is notified. What should you do?;Ensure that VPC firewall rules allow access from the IP addresses used by Google Cloud's uptime-check servers. Create a Pub/Sub topic for alerting as a monitoring notification channel in Google Cloud Observability. Create an uptime check for the appropriate resource's external IP address, with an alerting policy set to use the Pub/Sub topic. Create a Cloud Run function that subscribes to the Pub/Sub topic to send the alert to the on-call API.;Ensure that VPC firewall rules allow access from the on-call API. Create a Cloud Run function to send the alert to the on-call API. Add Cloud Run functions as a monitoring notification channel in Google Cloud Observability. Create an uptime check for the appropriate resource's external IP address, with an alerting policy set to use the Cloud Run function.;Ensure that VPC firewall rules allow access from the IP addresses used by Google Cloud's uptime-check servers. Add the URL for the on-call rotation API as a monitoring notification channel in Google Cloud Observability. Create an uptime check for the appropriate resource's internal IP address, with an alerting policy set to use the API.;Ensure that VPC firewall rules allow access from the IP addresses used by Google Cloud’s uptime-check servers. Create a Pub/Sub topic for alerting as a monitoring notification channel in Google Cloud Observability. Create an uptime check for the appropriate resource's internal IP address, with an alerting policy set to use the Pub/Sub topic. Create a Cloud Run function that subscribes to the Pub/Sub topic to send the alert to the on-call API.;a;Standard Google Cloud Uptime Checks originate from public IP ranges  and target External IPs, requiring specific firewall allow rules. To integrate with a custom/proprietary API, the recommended architectural pattern is to send the alert to a **Pub/Sub topic**, which triggers a **Cloud Run function** to format the message and call the API.;medium;EN
